Category,Organization Name,Address,Distance from Princeton U (mi),Space Type,Published Price,Princeton Affiliation Discount?,More Info / Website,Accelerator / Incubator Program & NJEDA Recognition,Latitude,Longitude
Coworking,TigerLabs,"300 Witherspoon St, Princeton, NJ 08542",0.7,"Offers 24/7 access to coworking and dedicated desk space with typical office ammenities, including high-speed internet, printers/scanners, private phone booths, and community networking events. TigerLabs also runs its own 6-month accelerator for early-stage software startups. ","Memberships span $90-385/month with day passes from $35/day (shared rooms) or $125 (private rooms), as well as conference rooms from $45/hour.",None at this time,https://tigerlabs.co,"The organization is not on NJEDA's approved NJ Ignite rent-subsidy list (no asterisk/approval marker in NJEDA's 2021 and 2024 workspace lists), though it is referenced in NJEDA's promotional articles on NJ accelerators.",40.35178,-74.66287
Coworking,Strive Workspaces Princeton,"150 College Rd W Suite 201, Princeton, NJ 08540",3.5,"Offers 24/7 private workspaces with amenities, including high-spee internet, mail and package handling, snacks and beverages, and lounge areas. Shared co-working spaces and conference rooms are also avialable for rent. Virtual offices are also on offer, providing a business address with mail handling services for remote teams. ",Shared spaces available from $350/person /month with day passes from $50/person; Dedicated  spaces available from $450/month or $50/person/day. Confernce rooms available from $30/hour.,None at this time,https://striveworkspaces.com/princeton,None found,40.31619,-74.64858
Coworking,Regus - Carnegie Center,"103 Carnegie Center Dr #300, Princeton, NJ 08540",3,"Offers 24/7 access to a large variety of individual private offices, conference rooms, dedicated coworking desks, day offices, small & large team offices, business address and virtual office services. ",Prices vary with dedicated offices from $375-569/mo; contact for quote.,None at this time,https://www.regus.com,Regus locations appear in NJEDA's identified-workspaces reference list but are not marked NJ Ignite-approved.,40.31821,-74.65253
Coworking,Regus - Overlook,"100 Overlook Center 2nd Fl, Princeton, NJ 08540",2,"Offers 24/7 access to a large variety of individual private offices, conference rooms, dedicated coworking desks, day offices, small & large team offices, business address and virtual office services. ",Prices vary with dedicated offices from $345-649/mo; contact for quote.,None at this time,https://www.regus.com,Regus locations appear in NJEDA's identified-workspaces reference list but are not marked NJ Ignite-approved.,40.30129,-74.67629
Coworking,Regus - Forrestal Village,"206 Rockingham Row Suite 200, Princeton, NJ 08540",3.5,"Offers 24/7 access to a large variety of individual private offices, conference rooms, dedicated coworking desks, day offices, small & large team offices, business address and virtual office services. ",Prices vary with didicated offices from $295-779/mo; contact for quote. ,None at this time,https://www.regus.com,Regus locations appear in NJEDA's identified-workspaces reference list but are not marked NJ Ignite-approved.,40.33717,-74.60235
Coworking,from HERE @ The Junction,"2107 Goldfinch Blvd, Princeton, NJ 08540",3,"Offers 24/7 access to fully furnished, dedicated and shared workspaces for individuals and small teams, and a variety of small conference rooms. ",Desk in shared space from $30/day and private offices from $70/day or $10/hour.,None at this time,https://www.fromhere.today,None found,40.31933,-74.64481
Coworking,Princeton Office Solutions,"475 Wall St, Princeton, NJ 08540",1.5,"Offers a variety of executive and small offices (84 - 114 sq. ft), cubical spaces, and virtual offices with amenities spanning administrative services, video conferencing, and a full business center providing mail/package delivery and printing services. ",Contact for pricing,None at this time,https://princetonofficesolutions.com,Appears in NJEDA's 2024 identified-workspaces directory but is not marked as an NJ Ignite-approved site.,40.32998,-74.67879
Wet/Dry Lab,Princeton Innovation Center BioLabs,"303A College Road East, Princeton, NJ 08540",3.5,"Offers collaborative wet/dry lab & office coworking facilities and premier incubation for early-stage life sciences and technology companies. Powered by BioLabs and founded by Princeton University in 2018, Princeton Innovation Center BioLabs is a premier incubator for technology and life science startups in New Jersey. By providing shared lab space and state of the art equipment, Princeton Innovation Center BioLabs allows scientific entrepreneurs to grow quickly while maximizing capital efficiency.","Companies must apply and, if approved, will move forward to present during a Selection Committee Meeting. Once approved, the fees are outlined below.
Membership fee: $300 per person
Workstation: $500 per month
Two-person office: $1,000 per month
Three-person Office: $1,500 per month
Six-person office: $3,000 per month
Shared Wet Lab Bench: $2,500 per month
Shared Dry Lab Bench: $1,500 per month 
Private Labs range in price
A decommissioning fee of $1,200 is added to the initial invoice as well as a refundable retainer equal to twice the monthly rent.
Please remove the NJEDA recognition, it is no longer valid. We are currently an approved Collaborative Workspaces & Incubators through the NJ Accelerate Program,, which runs through September 2026.","Yes - provides preference to Princeton University faculty, students & alumni, plus the wider New Jersey community.",https://innovation.princeton.edu/about/campus-partners/princeton-innovation-center-biolabs,"The center participates in the NJ Ignite program, a state program that provides rent support for tenants in the incubator program. ",40.31914,-74.6465
Wet/Dry Lab,NJ Bioscience Center Incubator,"North Brunswick, NJ",13,"This build-to-suit space includes 5 building and 3 redevelopment sites on 50 acres including an incubator and independent R&D space. It is home to prestigious tenants, such as Ascendia Pharma, Boehringer Ingelheim, Chromocell, Hurel Corporation, Orthobond, and Rutgers University, with over $70+ million invested in facilities and improvments, including a shared conference facility.",Contact for details; NJ Ignite Program can offer up to 5 months free rent for qualifying biotech,None at this time,https://www.njeda.gov/njbc,Yes - life-science incubator on NJEDA-owned property. NJEDA-recognized: confirmed NJ Ignite-approved site.,40.45049,-74.47198
Prototyping (Accelerator-members Only),HAX Plasma Forge (at SRI),"201 Washington Road, Princeton, NJ 08540",1,"An accelerator program with 10,000 sq ft lab + co-working space for plasma/deep-tech startups. Accepted founders gain access to HAX’s proven program model for hard tech growth, turning “bench science” into investable, scalable companies. This includes access to: 1) Up to $550K in Seed capital from SOSV, 2) Specialized plasma R&D infrastructure & metrology, 3) Hands-on support from HAX’s engineering, design & supply chain teams, 4) Co-location with corporates, 5) Direct collaboration with PPPL’s plasma scientists, 6) Connection to SOSV’s global network of investors","Not a straight rental - accelerator model: up to $550K seed capital per startup, funded by SOSV + NJEDA + PPPL. Learn more about applying at https://hax.co/faq/#application",N/A,https://hax.co/hax-plasma-forge,"SOSV's HAX hardware/plasma accelerator model is NJEDA-recognized: named one of NJ's 12 Strategic Innovation Centers (a separate, higher-profile program from NJ Ignite).",40.34422,-74.65308
Prototyping,FUBAR Labs,"1510B Jersey Ave, North Brunswick, NJ 08902",12,"Community makerspace in a large industrial warehouse, offering members access to 3D printing, laser cutting, CNC, metal shop, woodshop, fabrication space, electrical lab, and educational programming. ","Membership-based (tiered monthly dues), starting at $50/month with student discounts available. ",None at this time,https://fubarlabs.org,None found,40.46958,-74.47037
Coworking,HUB-13,"13 W Front St, Trenton, NJ 08608",10.5,"Offers 24/7 coworking, private office, and meeting room space with amenities spanning on-site parking, concierge service, cafe and business lounge, bike racks and shower facilities, storage facilities, and reception services.","From $299/mo (1 desk); $598/mo (2 desks); $897/mo (3); $1,196/mo (4); $1,495/mo (5)",None at this time,https://www.office-hub.com/listings/1-person-coworking-office-13-w-front-st-trenton-nj-08608-a0t3m00000TY5cEAAT,None found,40.21745,-74.744
Wet/Dry Lab,New Jersey Innovation Hub at HELIX (Portal Innovations),"20 French Street, New Brunswick, NJ 08901",15,"The New Jersey Innovation Hub, Powered by Portal at HELIX NJ is home to innovative science-driven companies from across the Northeast corridor. The space spans more than 30,000 sq-ft of world-class lab space that includes 140+ benches, 80+ desks, vivarium services, offices, large co-working spaces, and multiple conference rooms – ideal for science-driven companies. The Portal lab space has over $2 million of modern equipment. An on-site vivarium also exists for members.",Contact for pricing,"Inquire about Princeton-affiliate terms - Princeton University is listed as an ecosystem partner of HELIX alongside Rutgers, RWJBarnabas, Hackensack Meridian and Nokia Bell Labs.",https://www.portalinnovations.com/portal-new-brunswick,NJEDA-recognized as one of the 12 Strategic Innovation Centers (separate track from NJ Ignite).,40.49756,-74.44982
